origin,destination,amount
MEX,JPN,110033400000
MEX,TWN,5294300000
MEX,SGP,11582300000
MEX,IRQ,16532100000
MEX,SDN,71790900000
MEX,SAU,37701500000
MEX,AFG,17360000000
MEX,SEN,8720800000
MEX,LBY,492700000
MEX,KWT,4687600000
MEX,YEM,42715200000
MEX,ZWE,4897000000
MEX,QAT,5267200000
MEX,SOM,25581200000
MEX,JOR,1058900000
MEX,LBR,1610600000
MEX,DJI,1897000000
MEX,NOR,475300000
MEX,SLE,4241000000
MEX,MRT,6332900000
MEX,OMN,1843400000
MEX,ERI,3415600000
MEX,ARE,14718800000
MEX,BHR,3116400000
MEX,GNB,645800000
MEX,MLT,428000000
MEX,LSO,2455200000
MEX,BRN,721300000
MEX,TTO,1730100000
MEX,NAM,1745500000
MEX,TLS,552900000
MEX,CYP,14200000
MEX,BWA,3793100000
MEX,BRB,55400000
MEX,ISL,589200000
MEX,GNQ,1215900000
MEX,CPV,651500000
MEX,MDV,996100000
MEX,GMB,2207000000
MEX,LCA,59400000
MEX,LIE,75600000
MEX,ATG,139300000
MEX,SYC,130800000
MEX,KNA,42000000
MEX,TUV,700000
MEX,MNP,501425200000
BGD,MNP,95958900000
ARG,MNP,1328467300000
EGY,MNP,291108500000
CHN,MNP,9465258300000
PHL,MNP,316148200000
RUS,MNP,1478697500000
FRA,MNP,864181300000
KOR,MNP,4841300000
IDN,MNP,2055128232000
GBR,MNP,218174300000
PER,MNP,93368700000
IRN,MNP,265654500000
COD,MNP,26586000000
COL,MNP,182182000000
THA,MNP,630418400000
CHL,MNP,62289900000
ESP,MNP,505953900000
USA,MNP,6525517516000
AGO,MNP,59815200000
VNM,MNP,288431900000
MMR,MNP,151054400000
CIV,MNP,69953300000
BRA,MNP,4421704100000
TUR,MNP,856327700000
DEU,MNP,448645500000
DZA,MNP,135176400000
ITA,MNP,214695400000
NKOR,MNP,19699900000
GRC,MNP,80716600000
ZAF,MNP,184559900000
ETH,MNP,81662500000
KEN,MNP,14022600000
VEN,MNP,10567300000
TZA,MNP,119805700000
PRT,MNP,6135400000
UKR,MNP,1192162100000
SYR,MNP,14310800000
TUN,MNP,85265100000
AUT,MNP,54133800000
UZB,MNP,120976400000
CUB,MNP,66476200000
DOM,MNP,33609700000
AZE,MNP,41981900000
GHA,MNP,149237800000
HTI,MNP,3441900000
ROU,MNP,469797000000
PRY,MNP,234864000000
LBN,MNP,1038400000
BLR,MNP,95927100000
BEL,MNP,41019000000
POL,MNP,362631100000
MAR,MNP,141109400000
ECU,MNP,111005400000
MDG,MNP,3950100000
HUN,MNP,233102300000
CMR,MNP,85106100000
BOL,MNP,88542800000
NGA,MNP,890878198072
URY,MNP,45975500000
MLI,MNP,85196900000
GIN,MNP,30278700000
KHM,MNP,66471900000
TGO,MNP,7543800000
MYS,MNP,443402900000
MOZ,MNP,21204300000
SLV,MNP,18412000000
UGA,MNP,11947700000
NLD,MNP,74593100000
COG,MNP,1087400000
CRI,MNP,49327400000
PAN,MNP,7365000000
SWE,MNP,28962500000
BGR,MNP,152599300000
CZE,MNP,104909500000
BFA,MNP,23653400000
CAN,MNP,1233820200000
FIN,MNP,24975500000
ARM,MNP,3468300000
GEO,MNP,362400000
SRB,MNP,151232200000
TJK,MNP,13150700000
DNK,MNP,91887700000
IRL,MNP,15211900000
ISR,MNP,30609500000
GTM,MNP,172096600000
TCD,MNP,4754100000
HND,MNP,34525300000
JAM,MNP,6370600000
NIC,MNP,23973100000
NER,MNP,58277500000
ALB,MNP,19712200000
NPL,MNP,73143400000
MNG,MNP,433000000
RWA,MNP,18859200000
KGZ,MNP,23127800000
CAF,MNP,1096500000
PAK,MNP,309355200000
BEN,MNP,47067200000
LAO,MNP,44950700000
LVA,MNP,28286300000
TKM,MNP,14507700000
HRV,MNP,51448900000
BIH,MNP,22845100000
MDA,MNP,57082000000
MWI,MNP,74781100000
MUS,MNP,6197400000
GAB,MNP,764800000
LTU,MNP,56494900000
MKD,MNP,33222400000
SVK,MNP,53882300000
EST,MNP,11650200000
NZL,MNP,20286500000
KAZ,MNP,296351400000
BDI,MNP,17580400000
AUS,MNP,623756700000
IND,MNP,2958644100000
SVN,MNP,5024400000
PNG,MNP,39669700000
CHE,MNP,2476900000
GUY,MNP,14372400000
SUR,MNP,1564900000
BHS,MNP,558800000
LKA,MNP,41471300000
FJI,MNP,2926900000
MNE,MNP,16500000
COM,MNP,816800000
LUX,MNP,894200000
BTN,MNP,1640300000
SWZ,MNP,15394000000
STP,MNP,34600000
SLB,MNP,4453900000
WSM,MNP,2046400000
VCT,MNP,857600000
VUT,MNP,3908600000
TON,MNP,1536000000
GRD,MNP,256000000
KIR,MNP,1819300000
MHL,MNP,148800000
DMA,MNP,993200000
BLZ,MNP,6484100000
ASM,MNP,23500000
FSM,MNP,341700000
GUM,MNP,55600000
